list_entry,reason,title,statutory_address
1323490,monument,"Group of 4 Goddard Monuments, in the Churchyard, Immediately South of Chancel of St Rumbold's Church","GROUP OF 4 GODDARD MONUMENTS, IN THE CHURCHYARD, IMMEDIATELY SOUTH OF CHANCEL OF ST RUMBOLD&#x27;S CHURCH, PENTRIDGE VILLAGE"
1323532,churchyard_feature,"Churchyard Cross 20 Metres North of Church","CHURCHYARD CROSS 20 METRES NORTH OF CHURCH, BLANDFORD ROAD"
1323730,monument,"Monument to George Abell South of West End of St Leonards Church","MONUMENT TO GEORGE ABELL SOUTH OF WEST END OF ST LEONARDS CHURCH, STREATHAM HIGH ROAD SW16"
1323731,monument,"Monument to Lieutenant Colonel William Boyce North of West End of St Leonards Church","MONUMENT TO LIEUTENANT COLONEL WILLIAM BOYCE NORTH OF WEST END OF ST LEONARDS CHURCH, STREATHAM HIGH ROAD SW16"
1323732,monument,"Monument to Joseph Hay North of West End of St Leonards Church","MONUMENT TO JOSEPH HAY NORTH OF WEST END OF ST LEONARDS CHURCH, STREATHAM HIGH ROAD SW16"
1323733,monument,"Monument to Thomas Helps East of St Leonards Church","MONUMENT TO THOMAS HELPS EAST OF ST LEONARDS CHURCH, STREATHAM HIGH ROAD SW16"
1323960,monument,"Gillet Monument 5 Metres South of Tower of the Parish Church","GILLET MONUMENT 5 METRES SOUTH OF TOWER OF THE PARISH CHURCH"
1324309,monument,"Clapcott Monument, in the Churchyard, 3M South of Chapel of St Mary's Church","CLAPCOTT MONUMENT, IN THE CHURCHYARD, 3M SOUTH OF CHAPEL OF ST MARY&#x27;S CHURCH, CHESCOMBE LANE"
1324319,monument,"Bastard Monument in the Churchyard, Immediately South of Tower of All Saints Church","BASTARD MONUMENT IN THE CHURCHYARD, IMMEDIATELY SOUTH OF TOWER OF ALL SAINTS CHURCH, VILLAGE STREET"
1324320,monument,"Benjafield Monument in the Churchyard, 12 Metres South of All Saints Church","BENJAFIELD MONUMENT IN THE CHURCHYARD, 12 METRES SOUTH OF ALL SAINTS CHURCH, VILLAGE STREET"
1324612,monument,"Agnis Mew Monument in the Churchyard Approximately 3M North East of North Aisle of St Mary's Church","AGNIS MEW MONUMENT IN THE CHURCHYARD APPROXIMATELY 3M NORTH EAST OF NORTH AISLE OF ST MARY&#x27;S CHURCH, MAIN STREET"
1324629,monument,"Elizabeth Jones Monument, in the Churchyard, 4 Metres South of Chancel of St Mary's Church","ELIZABETH JONES MONUMENT, IN THE CHURCHYARD, 4 METRES SOUTH OF CHANCEL OF ST MARY&#x27;S CHURCH"
1324630,monument,"Dale Monument, in the Churchyard, 14 Metres South of South Aisle of St Mary's Church","DALE MONUMENT, IN THE CHURCHYARD, 14 METRES SOUTH OF SOUTH AISLE OF ST MARY&#x27;S CHURCH"
1324786,wall_related,"Wall and Railings Enclosing Shaftesbury Congregational Church","WALL AND RAILINGS ENCLOSING SHAFTESBURY CONGREGATIONAL CHURCH, MUSTONS LANE"
1325194,headstone,"Group of 12 Headstones South of South Aisle of All Saints Church","GROUP OF 12 HEADSTONES SOUTH OF SOUTH AISLE OF ALL SAINTS CHURCH, CHURCH GREEN"
